"Survey Date","Hospital Region","Hospital Region Code","Facility Type","Facility Filter","All Beds","Inpatient Beds","Inpatient Beds Used","Inpatient Beds Available","ICU Beds","ICU Beds Used","ICU Beds Available","Vents","Vents Used","Vents Available","Pos COVID","PUI Pending","Pos COVID PUI Pending","All Beds (Imputed)","Inpatient Beds (Imputed)","Inpatient Beds Used (Imputed)","Inpatient Beds Available (Imputed)","ICU Beds (Imputed)","ICU Beds Used (Imputed)","ICU Beds Available (Imputed)","Vents (Imputed)","Vents Used (Imputed)","Vents Available (Imputed)","Pos COVID (Imputed)","PUI Pending (Imputed)","Pos COVID PUI Pending (Imputed)"
04/05/2020,Matanuska-Susitna,3,GACH,1,192,125,48,77,14,7,7,14,4,10,,,,192,125,48,77,14,7,7,14,4,10,,,
04/05/2020,Northern,2,CAH,1,135,43,23,20,0,0,0,15,1,14,,,,135,43,23,20,0,0,0,15,1,14,,,
04/05/2020,Southeast,5,CAH,1,79,75,28,47,12,0,12,25,0,25,,,,79,75,28,47,12,0,12,25,0,25,,,
04/05/2020,Southeast,5,GACH,1,57,46,9,37,9,3,6,15,0,15,,,,57,46,9,37,9,3,6,15,0,15,,,
04/05/2020,Southwest,1,CAH,1,26,12,3,9,0,0,0,2,0,2,,,,26,12,3,9,0,0,0,2,0,2,,,
04/05/2020,Southwest,1,GACH,1,62,45,10,35,8,0,8,4,0,4,,,,62,45,10,35,8,0,8,4,0,4,,,
04/06/2020,Anchorage,7,GACH,1,909,724,415,309,92,53,39,135,18,117,,,,909,724,415,309,92,53,39,135,18,117,,,
04/06/2020,Anchorage,7,LTACH,0,56,30,24,6,11,3,8,24,0,24,,,,56,30,24,6,11,3,8,24,0,24,,,
04/06/2020,Anchorage,7,Psych,0,116,86,49,37,0,0,0,0,0,0,,,,116,86,49,37,0,0,0,0,0,0,,,
04/06/2020,Gulf Coast,4,CAH,1,130,109,13,96,4,0,4,17,0,17,,,,130,109,13,96,4,0,4,17,0,17,,,
